posted,neighborhood,listing_title,number_bedrooms,sqft,URL,price,clean_neighborhood
6/5/2020 20:52,Kirkland,"DISPONIBLE AU 1er juillet 2020		 COTTAGE DE 3+1 CHAMBRES À LOUER  – Fa",4,,https://montreal.craigslist.org/apa/d/kirkland-disponible-au-1er-juillet-2020/7129438699.html?lang=en&cc=us,2495,Kirkland
6/5/2020 20:52,Pierrefonds,Pierrefonds  -  Près de PC High School – Cottage 4 chambres à louer,4,,https://montreal.craigslist.org/apa/d/pierrefonds-pierrefonds-prs-de-pc-high/7120427319.html?lang=en&cc=us,2100,Pierrefonds
6/5/2020 20:52,Pierrefonds,Fabuleux  4 1/2 tres illumine a Pierrefonds,2,,https://montreal.craigslist.org/apa/d/pierrefonds-fabuleux-tres-illumine/7123656315.html?lang=en&cc=us,965,Pierrefonds
6/5/2020 20:19,Pierrefonds,"4.5, rue Duff a Pierrefonds    4.5, Duff Street, Pierrefonds RENOVATED",2,,https://montreal.craigslist.org/apa/d/pierrefonds-45-rue-duff-pierrefonds-45/7122571049.html?lang=en&cc=us,963,Pierrefonds
6/5/2020 20:40,Lachine,Chambre à louer près du Canal Lachine,1,,https://montreal.craigslist.org/apa/d/lachine-chambre-louer-prs-du-canal/7127691742.html?lang=en&cc=us,575,Lachine
6/5/2020 19:08,Cité Mirabel,"New 1 bedroom condo (3 1/2) in Mirabel, new appliances included.",1,,https://montreal.craigslist.org/apa/d/mirabel-northeast-new-1-bedroom-condo/7136599067.html?lang=en&cc=us,1295,Mirabel
6/5/2020 17:37,Mile End,Immense appartement rénové au Mile-End avec balcon,2,,https://montreal.craigslist.org/apa/d/montreal-immense-appartement-rnov-au/7136550398.html?lang=en&cc=us,1800,Mile-End
6/5/2020 17:33,Quartier Des Spectacles,Charmant appart au quartier des spectacles,2,,https://montreal.craigslist.org/apa/d/montreal-charmant-appart-au-quartier/7136547746.html?lang=en&cc=us,1700,Ville-Marie
6/5/2020 17:26,Rosemont,Dernier étage avec vue sur le jardin botanique,1,,https://montreal.craigslist.org/apa/d/montreal-dernier-tage-avec-vue-sur-le/7136543959.html?lang=en&cc=us,1150,Rosemont
6/5/2020 16:39,2445 Chemin Sunset,3 ½ - Appartement situé au 2445 Chemin Sunset à Mont-royal,,,https://montreal.craigslist.org/apa/d/mont-royal-3-appartement-situ-au-2445/7136513632.html?lang=en&cc=us,570,Mont-Royal
